Simplified Chinese,Pinyin,Meaning,Audio
开,kāi,"to open, to start, to turn on, to boil, to write out (a prescription, check, invoice etc), to operate (a vehicle), carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format",[sound:开.mp3]
开车,kāichē,to drive a car,[sound:开车.mp3]
开会,kāihùi,"to hold a meeting, to attend a meeting",[sound:开会.mp3]
开玩笑,kāiwánxiào,"to play a joke, to make fun of, to joke",[sound:开玩笑.mp3]
看,kàn,"to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)",[sound:看.mp3]
看病,kànbìng,"to visit a doctor, to see a patient",[sound:看病.mp3]
看到,kàndào,to see,[sound:看到.mp3]
看见,kànjiàn,"to see, to catch sight of",[sound:看见.mp3]
考,kǎo,"to check, to verify, to test, to examine, to take an exam, to take an entrance exam for, deceased father",[sound:考.mp3]
考试,kǎoshì,"to take an exam, exam, CL:次[ci4]",[sound:考试.mp3]
渴,kě,thirsty,[sound:渴.mp3]
课,kè,"subject, course, CL:門|门[men2], class, lesson, CL:堂[tang2],節|节[jie2], to levy, tax, form of divination",[sound:课.mp3]
课本,kèběn,"textbook, CL:本[ben3]",[sound:课本.mp3]
课文,kèwén,"text, CL:篇[pian1]",[sound:课文.mp3]
口,kǒu,"mouth, classifier for things with mouths (people, domestic animals, cannons, wells etc), classifier for bites or mouthfuls",[sound:口.mp3]
块,kuài,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units",[sound:块.mp3]
快,kuài,"rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant",[sound:快.mp3]
来,lái,"to come, to arrive, to come round, ever since, next",[sound:来.mp3]
来到,láidào,"to come, to arrive",[sound:来到.mp3]
